"case_id","run_id","campaign_id","case_type","agent_name","start_ts","end_ts","raw_alert_count","unique_rule_count","trigger_alert_count","supporting_alert_count","duplicate_alert_count","noise_alert_count","duplicate_ratio","mitre_techniques","execution_mode","tool","case_summary","analyst_expected_conclusion","meaningful_alert_count","suppression_candidate_count","compression_potential","dominant_label","dominant_event_role","scenario_id","rule_ids","notes"
"CASE-011","S07-MAN-R001","","run_case","safesoc-lnx-01","2026-05-14T21:43:36.453-0400","2026-05-14T21:49:54.920-0400","51","12","4","47","0","0","0.0000","T1548.003;T1078;T1110.001;T1082/T1033/T1016;T1110.001/T1021.004;T1110;T1078/T1110","manual","manual","Run-level investigation case for S07-MAN-R001, containing 51 correlated labeled alerts across 12 Wazuh rule IDs.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.","51","0","0.0000","attack_like","supporting","S07","5402;5501;5502;100764;100760;100761;5710;5503;5712;2502;5760;40112",""
"CASE-012","S07-MAN-R002","","run_case","safesoc-lnx-01","2026-05-14T22:06:14.918-0400","2026-05-14T22:06:27.317-0400","9","3","1","8","0","0","0.0000","T1110.001;T1110.001/T1021.004;T1110","manual","manual","Run-level investigation case for S07-MAN-R002, containing 9 correlated labeled alerts across 3 Wazuh rule IDs.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.","9","0","0.0000","attack_like","supporting","S07","5503;5760;2502",""
"CASE-013","S08-MAN-R001","","run_case","safesoc-lnx-01","2026-05-14T22:22:59.710-0400","2026-05-14T22:23:39.723-0400","18","9","4","14","0","0","0.0000","T1548.003;T1110.001;T1078","manual","manual","Run-level investigation case for S08-MAN-R001, containing 18 correlated labeled alerts across 9 Wazuh rule IDs.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.","18","0","0.0000","attack_like","supporting","S08","2501;100763;100760;5503;5401;5402;5501;5502;100761",""
"CASE-014","S08-MAN-R002","","run_case","safesoc-lnx-01","2026-05-14T22:39:33.566-0400","2026-05-14T22:39:44.060-0400","10","5","4","6","0","0","0.0000","T1110.001;T1548.003","manual","manual","Run-level investigation case for S08-MAN-R002, containing 10 correlated labeled alerts across 5 Wazuh rule IDs.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.","10","0","0.0000","attack_like","supporting","S08","5503;100760;100763;5401;100761",""
"CASE-015","S09-MAN-R001","","run_case","safesoc-lnx-01","2026-05-14T22:55:45.867-0400","2026-05-14T22:56:26.396-0400","13","7","4","9","0","0","0.0000","T1082/T1033/T1016;T1057;T1548.003;T1078","manual","manual","Run-level investigation case for S09-MAN-R001, containing 13 correlated labeled alerts across 7 Wazuh rule IDs.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.","13","0","0.0000","attack_like","supporting","S09","100764;100760;100761;92604;5402;5501;5502",""
"CASE-016","S09-MAN-R002","","run_case","safesoc-lnx-01","2026-05-14T23:02:29.983-0400","2026-05-14T23:04:14.576-0400","37","8","4","33","0","0","0.0000","T1082/T1033/T1016;T1548.003;T1078;T1053.003","manual","manual","Run-level investigation case for S09-MAN-R002, containing 37 correlated labeled alerts across 8 Wazuh rule IDs.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.","37","0","0.0000","attack_like","supporting","S09","100764;100760;100761;554;5402;5501;5502;100765",""
"CASE-017","S10-MAN-R001","","run_case","safesoc-lnx-01","2026-05-14T23:02:29.983-0400","2026-05-14T23:04:32.576-0400","49","8","1","11","37","0","0.7551","T1082/T1033/T1016;T1053.003;T1548.003;T1078","manual","manual","Run-level investigation case for S10-MAN-R001, containing 49 correlated labeled alerts across 8 Wazuh rule IDs.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.","12","37","0.7551","attack_like","duplicate","S10","100764;100760;100761;554;5402;5501;5502;100765",""
"CASE-018","S10-MAN-R002","","run_case","safesoc-lnx-01","2026-05-14T23:07:20.370-0400","2026-05-14T23:09:10.635-0400","83","10","4","48","5","26","0.0602","T1565.001;T1053.003;T1548.003;T1078","manual","manual","Run-level investigation case for S10-MAN-R002, containing 83 correlated labeled alerts across 10 Wazuh rule IDs.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.","52","31","0.3735","attack_like","supporting","S10","550;100760;100765;5402;5501;5502;100761;2901;2904;2902",""
"CASE-019","S11-MAN-R001","","run_case","safesoc-lnx-01","2026-05-14T15:25:40.630-0400","2026-05-14T15:33:38.863-0400","16","6","1","15","0","0","0.0000","T1078;T1548.003;T1562.001","manual","manual","Run-level investigation case for S11-MAN-R001, containing 16 correlated labeled alerts across 6 Wazuh rule IDs.","Analyst should conclude expected benign administrative activity occurred. Alerts can be used to test false-positive suppression and benign context recognition.","16","0","0.0000","benign","supporting","S11","2501;5501;5402;5502;506;503",""
"CASE-020","S11-MAN-R002","","run_case","safesoc-lnx-01","2026-05-14T16:53:54.779-0400","2026-05-14T16:54:34.791-0400","16","3","1","15","0","0","0.0000","T1548.003;T1078","manual","manual","Run-level investigation case for S11-MAN-R002, containing 16 correlated labeled alerts across 3 Wazuh rule IDs.","Analyst should conclude expected benign administrative activity occurred. Alerts can be used to test false-positive suppression and benign context recognition.","16","0","0.0000","benign","supporting","S11","5402;5502;5501",""
"CASE-021","S11-MAN-R003","","run_case","safesoc-lnx-01","2026-05-14T17:19:39.478-0400","2026-05-14T17:20:17.552-0400","16","4","1","15","0","0","0.0000","T1548.003;T1078","manual","manual","Run-level investigation case for S11-MAN-R003, containing 16 correlated labeled alerts across 4 Wazuh rule IDs.","Analyst should conclude expected benign administrative activity occurred. Alerts can be used to test false-positive suppression and benign context recognition.","16","0","0.0000","benign","supporting","S11","2501;5402;5501;5502",""
"CASE-022","S12-MAN-R002","","run_case","safesoc-win-01","2026-05-14T17:24:35.958-0400","2026-05-14T17:32:36.421-0400","14","6","1","0","8","14","0.5714","T1531;T1078;T1484","manual","manual","Run-level investigation case for S12-MAN-R002, containing 14 correlated labeled alerts across 6 Wazuh rule IDs.","Analyst should treat this as noisy or false-positive-like activity unless additional evidence changes the context.","1","14","1.0000","ambiguous_noise","duplicate","S12","60642;60132;60122;60118;67028;67023",""
"CASE-023","C-LNX-01-CAL-R001;C-LNX-01-CAL-R002;C-LNX-01-CAL-R003","C-LNX-01","campaign_case","safesoc-lnx-01","2026-05-14T23:41:36.705-0400","2026-05-15T00:55:36.666-0400","164","8","6","59","99","0","0.6037","T1548.003;T1078;T1110.001/T1548.003/T1082/T1033/T1016/T1053.003;T1057","caldera","MITRE Caldera","Campaign-level investigation case for C-LNX-01, aggregating related campaign telemetry across 3 run references.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.","65","99","0.6037","attack_like","duplicate","","5402;5501;2901;2904;2902;5502;92604;80730",""
"CASE-024","C-WIN-01-CAL-R001;C-WIN-01-CAL-R002","C-WIN-01","campaign_case","safesoc-win-01","2026-05-14T20:08:30.984-0400","2026-05-14T20:48:15.094-0400","12","7","4","4","4","0","0.3333","T1070.004;T1546.011;T1059.003;T1059.001/T1082/T1033/T1016/T1053.005/T1560.001;T1059.001","caldera","MITRE Caldera","Campaign-level investigation case for C-WIN-01, aggregating related campaign telemetry across 2 run references.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.","8","4","0.3333","attack_like","trigger","","92021;92058;92004;62123;62124;92029;92027",""
"CASE-025","S01-ART-R001","","scenario_case","safesoc-win-01","2026-05-14T18:21:29.564-0400","2026-05-14T18:29:34.513-0400","24","6","1","3","18","2","0.7500","T1087/T1059.001;T1087;T1070.004;T1059.001;T1059.003;T1087/T1059.003","atomic_red_team","Atomic Red Team","Scenario-level case for S01, aggregating all labeled telemetry for this scenario.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.","4","20","0.8333","attack_like","duplicate","S01","92033;92031;92021;92066;92052;92032",""
"CASE-026","S02-ART-R001;S02-MAN-R001","","scenario_case","safesoc-win-01","2026-05-14T18:09:35.760-0400","2026-05-14T18:36:08.048-0400","39","11","2","1","29","7","0.7436","T1087/T1059.001;T1087;T1070.004;T1059.001;T1059.003;T1087/T1059.003;T1082/T1033/T1016;T1546.011","atomic_red_team;manual","Atomic Red Team;manual","Scenario-level case for S02, aggregating all labeled telemetry for this scenario.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.","3","36","0.9231","attack_like","duplicate","S02","92033;92031;92021;92066;92052;92032;60642;92027;92058;23502;61104",""
"CASE-027","S03-ART-R001","","scenario_case","safesoc-win-01","2026-05-14T19:09:26.105-0400","2026-05-14T19:17:18.486-0400","8","6","1","0","2","5","0.2500","T1053.005;T1546.011;T1059.003;T1087/T1059.003;T1027/T1112;T1135","atomic_red_team","Atomic Red Team","Scenario-level case for S03, aggregating all labeled telemetry for this scenario.","Analyst should classify this case as background telemetry not directly tied to the emulated scenario.","1","7","0.8750","unrelated_background","unrelated","S03","60642;92058;92052;92032;92041;92034",""
"CASE-028","S04-ART-R001","","scenario_case","safesoc-win-01","2026-05-14T19:32:11.048-0400","2026-05-14T19:34:20.786-0400","16","4","1","1","12","2","0.7500","T1059.003;T1087/T1059.003;T1135;T1059.001","atomic_red_team","Atomic Red Team","Scenario-level case for S04, aggregating all labeled telemetry for this scenario.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.","2","14","0.8750","attack_like","duplicate","S04","92052;92032;92034;92027",""
"CASE-029","S07-MAN-R001;S07-MAN-R002","","scenario_case","safesoc-lnx-01","2026-05-14T21:43:36.453-0400","2026-05-14T22:06:27.317-0400","60","12","5","55","0","0","0.0000","T1548.003;T1078;T1110.001;T1082/T1033/T1016;T1110.001/T1021.004;T1110;T1078/T1110","manual","manual","Scenario-level case for S07, aggregating all labeled telemetry for this scenario.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.","60","0","0.0000","attack_like","supporting","S07","5402;5501;5502;100764;100760;100761;5710;5503;5712;2502;5760;40112",""
"CASE-030","S08-MAN-R001;S08-MAN-R002","","scenario_case","safesoc-lnx-01","2026-05-14T22:22:59.710-0400","2026-05-14T22:39:44.060-0400","28","9","8","20","0","0","0.0000","T1548.003;T1110.001;T1078","manual","manual","Scenario-level case for S08, aggregating all labeled telemetry for this scenario.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.","28","0","0.0000","attack_like","supporting","S08","2501;100763;100760;5503;5401;5402;5501;5502;100761",""
"CASE-031","S09-MAN-R001;S09-MAN-R002","","scenario_case","safesoc-lnx-01","2026-05-14T22:55:45.867-0400","2026-05-14T23:04:14.576-0400","50","9","8","42","0","0","0.0000","T1082/T1033/T1016;T1057;T1548.003;T1078;T1053.003","manual","manual","Scenario-level case for S09, aggregating all labeled telemetry for this scenario.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.","50","0","0.0000","attack_like","supporting","S09","100764;100760;100761;92604;5402;5501;5502;554;100765",""
"CASE-032","S10-MAN-R001;S10-MAN-R002","","scenario_case","safesoc-lnx-01","2026-05-14T23:02:29.983-0400","2026-05-14T23:09:10.635-0400","132","12","5","59","42","26","0.3182","T1082/T1033/T1016;T1053.003;T1548.003;T1078;T1565.001","manual","manual","Scenario-level case for S10, aggregating all labeled telemetry for this scenario.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.","64","68","0.5152","attack_like","supporting","S10","100764;100760;100761;554;5402;5501;5502;100765;550;2901;2904;2902",""
"CASE-033","S11-MAN-R001;S11-MAN-R002;S11-MAN-R003","","scenario_case","safesoc-lnx-01","2026-05-14T15:25:40.630-0400","2026-05-14T17:20:17.552-0400","48","6","3","45","0","0","0.0000","T1078;T1548.003;T1562.001","manual","manual","Scenario-level case for S11, aggregating all labeled telemetry for this scenario.","Analyst should conclude expected benign administrative activity occurred. Alerts can be used to test false-positive suppression and benign context recognition.","48","0","0.0000","benign","supporting","S11","2501;5501;5402;5502;506;503",""
"CASE-034","S12-MAN-R002","","scenario_case","safesoc-win-01","2026-05-14T17:24:35.958-0400","2026-05-14T17:32:36.421-0400","14","6","1","0","8","14","0.5714","T1531;T1078;T1484","manual","manual","Scenario-level case for S12, aggregating all labeled telemetry for this scenario.","Analyst should treat this as noisy or false-positive-like activity unless additional evidence changes the context.","1","14","1.0000","ambiguous_noise","duplicate","S12","60642;60132;60122;60118;67028;67023",""
"CASE-035","S10-MAN-R002;BACKGROUND-SAMPLE","","background_noise_case","safesoc-lnx-01","2026-05-14T06:10:20.462-0400","2026-05-14T23:08:56.104-0400","17","1","0","0","0","17","0.0000","T1053.003","manual;background_sample","manual;wazuh","Background/noise case for safesoc-lnx-01__2904, used to benchmark unrelated or low-value telemetry.","Analyst should classify this case as background telemetry not directly tied to the emulated scenario.","0","17","1.0000","unrelated_background","unrelated","S10","2904",""
"CASE-036","S10-MAN-R002;BACKGROUND-SAMPLE","","background_noise_case","safesoc-lnx-01","2026-05-14T06:10:20.964-0400","2026-05-14T23:08:56.106-0400","17","1","0","0","0","17","0.0000","T1053.003","manual;background_sample","manual;wazuh","Background/noise case for safesoc-lnx-01__2902, used to benchmark unrelated or low-value telemetry.","Analyst should classify this case as background telemetry not directly tied to the emulated scenario.","0","17","1.0000","unrelated_background","unrelated","S10","2902",""
"CASE-037","S01-ART-R001;S02-ART-R001;S02-MAN-R001;S03-ART-R001;S04-ART-R001;BACKGROUND-SAMPLE","","background_noise_case","safesoc-win-01","2026-05-14T12:23:16.321-0400","2026-05-14T19:32:11.048-0400","10","1","0","0","0","10","0.0000","T1087/T1059.003","atomic_red_team;manual;background_sample","Atomic Red Team;manual;wazuh","Background/noise case for safesoc-win-01__92032, used to benchmark unrelated or low-value telemetry.","Analyst should classify this case as background telemetry not directly tied to the emulated scenario.","0","10","1.0000","unrelated_background","unrelated","S01;S02;S03;S04","92032",""
"CASE-038","S01-ART-R001;S02-ART-R001;S02-MAN-R001;BACKGROUND-SAMPLE","","background_noise_case","safesoc-win-01","2026-05-14T12:23:31.359-0400","2026-05-14T18:21:29.593-0400","8","1","0","0","0","8","0.0000","T1087","atomic_red_team;manual;background_sample","Atomic Red Team;manual;wazuh","Background/noise case for safesoc-win-01__92031, used to benchmark unrelated or low-value telemetry.","Analyst should classify this case as background telemetry not directly tied to the emulated scenario.","0","8","1.0000","unrelated_background","unrelated","S01;S02","92031",""
"CASE-039","S02-ART-R001;S03-ART-R001;BACKGROUND-SAMPLE","","background_noise_case","safesoc-win-01","2026-05-14T12:23:45.857-0400","2026-05-14T19:09:26.105-0400","7","1","0","0","0","7","0.0000","T1082/T1033/T1016;T1053.005","atomic_red_team;background_sample","Atomic Red Team;wazuh","Background/noise case for safesoc-win-01__60642, used to benchmark unrelated or low-value telemetry.","Analyst should classify this case as background telemetry not directly tied to the emulated scenario.","0","7","1.0000","unrelated_background","unrelated","S02;S03","60642",""
"CASE-040","C-LNX-01-CAL-R003","C-LNX-01","technique_case","safesoc-lnx-01","2026-05-15T00:00:17.017-0400","2026-05-15T00:55:36.666-0400","102","1","1","26","75","0","0.7353","T1057","caldera","MITRE Caldera","Technique-focused case for C-LNX-01-CAL-R003__T1057, grouping alerts by run and MITRE technique.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.","27","75","0.7353","attack_like","duplicate","","92604",""
"CASE-041","C-LNX-01-CAL-R002","C-LNX-01","technique_case","safesoc-lnx-01","2026-05-15T00:12:25.208-0400","2026-05-15T00:32:42.280-0400","46","1","2","21","23","0","0.5000","T1057","caldera","MITRE Caldera","Technique-focused case for C-LNX-01-CAL-R002__T1057, grouping alerts by run and MITRE technique.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.","23","23","0.5000","attack_like","duplicate","","92604",""
"CASE-042","S10-MAN-R002","","technique_case","safesoc-lnx-01","2026-05-14T23:07:20.595-0400","2026-05-14T23:09:10.635-0400","28","7","3","20","5","0","0.1786","T1053.003","manual","manual","Technique-focused case for S10-MAN-R002__T1053.003, grouping alerts by run and MITRE technique.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.","23","5","0.1786","attack_like","supporting","S10","100760;100765;5502;100761;2904;2901;2902",""
"CASE-043","S10-MAN-R001","","technique_case","safesoc-lnx-01","2026-05-14T23:02:29.983-0400","2026-05-14T23:04:32.576-0400","23","5","0","4","19","0","0.8261","T1053.003","manual","manual","Technique-focused case for S10-MAN-R001__T1053.003, grouping alerts by run and MITRE technique.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.","4","19","0.8261","attack_like","duplicate","S10","100760;100761;554;5502;100765",""
"CASE-044","S09-MAN-R002","","technique_case","safesoc-lnx-01","2026-05-14T23:02:29.983-0400","2026-05-14T23:04:14.576-0400","19","5","4","15","0","0","0.0000","T1082/T1033/T1016","manual","manual","Technique-focused case for S09-MAN-R002__T1082/T1033/T1016, grouping alerts by run and MITRE technique.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.","19","0","0.0000","attack_like","supporting","S09","100764;100760;100761;554;5502",""
"CASE-045","S07-MAN-R001","","technique_case","safesoc-lnx-01","2026-05-14T21:45:59.556-0400","2026-05-14T21:49:54.920-0400","16","4","2","14","0","0","0.0000","T1110.001","manual","manual","Technique-focused case for S07-MAN-R001__T1110.001, grouping alerts by run and MITRE technique.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.","16","0","0.0000","attack_like","supporting","S07","5502;100760;100761;5503",""
"CASE-046","S08-MAN-R001","","technique_case","safesoc-lnx-01","2026-05-14T22:22:59.710-0400","2026-05-14T22:23:39.723-0400","14","7","4","10","0","0","0.0000","T1548.003","manual","manual","Technique-focused case for S08-MAN-R001__T1548.003, grouping alerts by run and MITRE technique.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.","14","0","0.0000","attack_like","supporting","S08","2501;100763;100760;5401;5402;5502;100761",""
"CASE-047","S10-MAN-R002","","technique_case","safesoc-lnx-01","2026-05-14T23:07:20.597-0400","2026-05-14T23:09:02.633-0400","14","1","0","14","0","0","0.0000","T1548.003","manual","manual","Technique-focused case for S10-MAN-R002__T1548.003, grouping alerts by run and MITRE technique.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.","14","0","0.0000","attack_like","supporting","S10","5402","Technique cases can overlap because one event sequence may map to multiple ATT&CK techniques."
"CASE-048","S10-MAN-R002","","technique_case","safesoc-lnx-01","2026-05-14T23:07:20.600-0400","2026-05-14T23:09:02.635-0400","14","1","0","14","0","0","0.0000","T1078","manual","manual","Technique-focused case for S10-MAN-R002__T1078, grouping alerts by run and MITRE technique.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.","14","0","0.0000","attack_like","supporting","S10","5501","Technique cases can overlap because one event sequence may map to multiple ATT&CK techniques."
"CASE-049","S07-MAN-R001","","technique_case","safesoc-lnx-01","2026-05-14T21:47:40.556-0400","2026-05-14T21:49:20.902-0400","12","2","0","12","0","0","0.0000","T1110.001/T1021.004","manual","manual","Technique-focused case for S07-MAN-R001__T1110.001/T1021.004, grouping alerts by run and MITRE technique.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.","12","0","0.0000","attack_like","supporting","S07","5710;5760",""
"CASE-050","S10-MAN-R001","","technique_case","safesoc-lnx-01","2026-05-14T23:04:14.010-0400","2026-05-14T23:04:32.576-0400","12","1","1","3","8","0","0.6667","T1548.003","manual","manual","Technique-focused case for S10-MAN-R001__T1548.003, grouping alerts by run and MITRE technique.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.","4","8","0.6667","attack_like","duplicate","S10","5402",""
