alert_uid,reference_count,run_ids,scenario_ids,campaign_ids,rule_id,rule_description,interpretation
ALERT-E1DDFE2BEA2A83C4,4,C-LNX-01-CAL-R002;C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-3F74861696BA1246,4,C-LNX-01-CAL-R002;C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-8C5FEED7F848D6A3,4,C-LNX-01-CAL-R002;C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-6EB90D9669A9EA66,4,C-LNX-01-CAL-R002;C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-9BFA3724D0BAC2E6,4,C-LNX-01-CAL-R002;C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-72F26E87464E67FC,4,C-LNX-01-CAL-R002;C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-9E5D5E7591D2BA84,4,C-LNX-01-CAL-R002;C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-F0B0033875C6224D,4,C-LNX-01-CAL-R002;C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-445EBFAE665C8BF8,2,C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-B11027386A50F2C0,2,C-LNX-01-CAL-R003,,C-LNX-01,80730,Auditd: SELinux permission check.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-7DDC62E1001D0CE7,2,C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-9866AAFBF724F412,2,C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-F3DE08BDD78AA429,2,C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-D7F767709CF40AC5,2,C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-10696EE951A4101E,2,C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-52E11ECC383CB932,2,C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-E672B0161554767A,2,C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-6EC4F61199F29F68,2,C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-4BED18B3EE6420A6,2,C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-F02BE2253997F44A,2,C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-0F57925BED3D00B2,2,C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-29EB000C0A6C8CA7,2,C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-FB9B90C624B63F0B,2,C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-0425721CB796C438,2,C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-972B3F8C6FB1288B,2,C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-2E8CE9F4E335CC50,2,C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-919CC0AC33F6DA19,2,C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-E9391FBFA28E0F80,2,C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-5B22611803697B4C,2,C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-599856B22432307F,2,C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-4A4308F60C18E377,2,C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-564143E5F4909BB3,2,C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-0EA1ABDA3F8B8416,2,C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-ACC16580B4FF4CF4,2,C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-E0A836B687040340,2,C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-856AC44E235682C9,2,C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-DD345CD878810EDD,2,C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-E24EB852CA6D13FA,3,S01-ART-R001;S02-ART-R001;S02-MAN-R001,S01;S02,,92033,Discovery activity spawned via powershell execution,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-6BCE8985DD9D00FB,3,S01-ART-R001;S02-ART-R001;S02-MAN-R001,S01;S02,,92031,Discovery activity executed,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-9E81834E9BF6C30C,2,S01-ART-R001;S02-ART-R001,S01;S02,,92021,Powershell was used to delete files or directories,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-B6BF48E23EC3B438,2,S01-ART-R001;S02-ART-R001,S01;S02,,92066,C:\\Windows\\SysWOW64\\SecEdit.exe binary in a suspicious location launched by C:\\Windows\\SysWOW64\\WindowsPowerShell\\v1.0\\powershell.exe,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-E5E4B6F2D41717CE,2,S01-ART-R001;S02-ART-R001,S01;S02,,92021,Powershell was used to delete files or directories,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-3B389E7C40E54E20,2,S01-ART-R001;S02-ART-R001,S01;S02,,92066,C:\\Windows\\SysWOW64\\SecEdit.exe binary in a suspicious location launched by C:\\Windows\\SysWOW64\\WindowsPowerShell\\v1.0\\powershell.exe,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-2A5360900AD00180,2,S01-ART-R001;S02-ART-R001,S01;S02,,92021,Powershell was used to delete files or directories,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-40278F6DA081083B,2,S01-ART-R001;S02-ART-R001,S01;S02,,92066,C:\\Windows\\SysWOW64\\SecEdit.exe binary in a suspicious location launched by C:\\Windows\\SysWOW64\\WindowsPowerShell\\v1.0\\powershell.exe,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-EE6AB8F5D152C84A,2,S01-ART-R001;S02-ART-R001,S01;S02,,92021,Powershell was used to delete files or directories,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-B5E64ADDD32339AF,2,S01-ART-R001;S02-ART-R001,S01;S02,,92066,C:\\Windows\\SysWOW64\\SecEdit.exe binary in a suspicious location launched by C:\\Windows\\SysWOW64\\WindowsPowerShell\\v1.0\\powershell.exe,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-C8CF0F3D84EAFBB9,2,S01-ART-R001;S02-ART-R001,S01;S02,,92021,Powershell was used to delete files or directories,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-E507695BA2EA5C21,2,S01-ART-R001;S02-ART-R001,S01;S02,,92066,C:\\Windows\\SysWOW64\\SecEdit.exe binary in a suspicious location launched by C:\\Windows\\SysWOW64\\WindowsPowerShell\\v1.0\\powershell.exe,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-249626574C110878,2,S01-ART-R001;S02-ART-R001,S01;S02,,92021,Powershell was used to delete files or directories,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-46EA158D85B8F76F,2,S01-ART-R001;S02-ART-R001,S01;S02,,92066,C:\\Windows\\SysWOW64\\SecEdit.exe binary in a suspicious location launched by C:\\Windows\\SysWOW64\\WindowsPowerShell\\v1.0\\powershell.exe,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-DCABB53231EA3EA2,2,S01-ART-R001;S02-ART-R001,S01;S02,,92021,Powershell was used to delete files or directories,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-D1D8BC2ADAD974A8,2,S01-ART-R001;S02-ART-R001,S01;S02,,92066,C:\\Windows\\SysWOW64\\SecEdit.exe binary in a suspicious location launched by C:\\Windows\\SysWOW64\\WindowsPowerShell\\v1.0\\powershell.exe,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-E9DE7AA21941DE66,2,S01-ART-R001;S02-ART-R001,S01;S02,,92021,Powershell was used to delete files or directories,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-E571FCED542E953C,2,S01-ART-R001;S02-ART-R001,S01;S02,,92066,C:\\Windows\\SysWOW64\\SecEdit.exe binary in a suspicious location launched by C:\\Windows\\SysWOW64\\WindowsPowerShell\\v1.0\\powershell.exe,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-240F855565506C86,2,S01-ART-R001;S02-ART-R001,S01;S02,,92031,Discovery activity executed,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-00F0FC17A23D909B,2,S01-ART-R001;S02-ART-R001,S01;S02,,92031,Discovery activity executed,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-01F1761453AFF7CE,2,S01-ART-R001;S02-ART-R001,S01;S02,,92031,Discovery activity executed,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-16D1B7E7D6B6161A,2,S01-ART-R001;S02-ART-R001,S01;S02,,92031,Discovery activity executed,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-7ABE50FA6F77102A,2,S01-ART-R001;S02-ART-R001,S01;S02,,92052,Windows command prompt started by an abnormal process,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-B56038E825C98246,2,S01-ART-R001;S02-ART-R001,S01;S02,,92032,Suspicious Windows cmd shell execution,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-CCA0A6BBD7E1C5FF,2,S09-MAN-R002;S10-MAN-R001,S09;S10,,100764,SafeAgentSOC S09 Linux discovery scenario marker,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-2CAC2FE2F7E944C7,2,S09-MAN-R002;S10-MAN-R001,S09;S10,,100760,SafeAgentSOC run start marker observed,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-D32E2C3F72683C3D,2,S09-MAN-R002;S10-MAN-R001,S09;S10,,100761,SafeAgentSOC run end marker observed,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-94C780327D1D63EF,2,S09-MAN-R002;S10-MAN-R001,S09;S10,,100760,SafeAgentSOC run start marker observed,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-E537FDFFD53889B2,2,S09-MAN-R002;S10-MAN-R001,S09;S10,,100764,SafeAgentSOC S09 Linux discovery scenario marker,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-F0CF479E2445DA6F,2,S09-MAN-R002;S10-MAN-R001,S09;S10,,100761,SafeAgentSOC run end marker observed,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-1633D25C528AC21C,2,S09-MAN-R002;S10-MAN-R001,S09;S10,,554,File added to the system.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-30733DDE88169F30,2,S09-MAN-R002;S10-MAN-R001,S09;S10,,5402,Successful sudo to ROOT executed.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-8799732B967FB730,2,S09-MAN-R002;S10-MAN-R001,S09;S10,,5501,PAM: Login session opened.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-A86F8BE70ABAE69A,2,S09-MAN-R002;S10-MAN-R001,S09;S10,,5502,PAM: Login session closed.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-1C1A11420A838A17,2,S09-MAN-R002;S10-MAN-R001,S09;S10,,5402,Successful sudo to ROOT executed.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-D7FDAC9E31901D37,2,S09-MAN-R002;S10-MAN-R001,S09;S10,,5501,PAM: Login session opened.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-627468661415508F,2,S09-MAN-R002;S10-MAN-R001,S09;S10,,5502,PAM: Login session closed.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-88DA314F350F7925,2,S09-MAN-R002;S10-MAN-R001,S09;S10,,5402,Successful sudo to ROOT executed.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-63E1506B000800FA,2,S09-MAN-R002;S10-MAN-R001,S09;S10,,5501,PAM: Login session opened.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-AAE9F598E668B630,2,S09-MAN-R002;S10-MAN-R001,S09;S10,,5502,PAM: Login session closed.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-3701B3C2571AFF94,2,S09-MAN-R002;S10-MAN-R001,S09;S10,,5402,Successful sudo to ROOT executed.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-FBEE6AD5A558C5FE,2,S09-MAN-R002;S10-MAN-R001,S09;S10,,5501,PAM: Login session opened.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-FA3FD4B2941B0642,2,S09-MAN-R002;S10-MAN-R001,S09;S10,,5502,PAM: Login session closed.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-CA78BB173E271C81,2,S09-MAN-R002;S10-MAN-R001,S09;S10,,100760,SafeAgentSOC run start marker observed,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-24A91EC62FBDE9D9,2,S09-MAN-R002;S10-MAN-R001,S09;S10,,100765,SafeAgentSOC S10 Linux cron marker scenario,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-51C21D7433411002,2,S09-MAN-R002;S10-MAN-R001,S09;S10,,100761,SafeAgentSOC run end marker observed,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-DB76E45176C37092,2,S09-MAN-R002;S10-MAN-R001,S09;S10,,100760,SafeAgentSOC run start marker observed,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-4F7A5D508C67A0A2,2,S09-MAN-R002;S10-MAN-R001,S09;S10,,100765,SafeAgentSOC S10 Linux cron marker scenario,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-D76CD3E66B909AAA,2,S09-MAN-R002;S10-MAN-R001,S09;S10,,5402,Successful sudo to ROOT executed.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-83B44B95E60B6585,2,S09-MAN-R002;S10-MAN-R001,S09;S10,,5501,PAM: Login session opened.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-386FEC849F23D138,2,S09-MAN-R002;S10-MAN-R001,S09;S10,,5502,PAM: Login session closed.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-B88C00DF957BC148,2,S09-MAN-R002;S10-MAN-R001,S09;S10,,5402,Successful sudo to ROOT executed.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-C21CEAE28A9CE4C1,2,S09-MAN-R002;S10-MAN-R001,S09;S10,,5501,PAM: Login session opened.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-EF0884FCFAF4CF26,2,S09-MAN-R002;S10-MAN-R001,S09;S10,,5502,PAM: Login session closed.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-9E62F2C2DE8222C1,2,S09-MAN-R002;S10-MAN-R001,S09;S10,,5402,Successful sudo to ROOT executed.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-DE01D26C61A51554,2,S09-MAN-R002;S10-MAN-R001,S09;S10,,5501,PAM: Login session opened.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-655BF23B2B8DF1AA,2,S09-MAN-R002;S10-MAN-R001,S09;S10,,5502,PAM: Login session closed.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-9565A462A8FB98AC,2,S09-MAN-R002;S10-MAN-R001,S09;S10,,5402,Successful sudo to ROOT executed.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-DCAA33FE76D48242,2,S09-MAN-R002;S10-MAN-R001,S09;S10,,5501,PAM: Login session opened.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-37324340E33FF18D,2,S09-MAN-R002;S10-MAN-R001,S09;S10,,5502,PAM: Login session closed.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-8875603CC22FA59D,2,S09-MAN-R002;S10-MAN-R001,S09;S10,,100761,SafeAgentSOC run end marker observed,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-ECD117751EF59C24,2,BACKGROUND-SAMPLE,,,52002,Apparmor DENIED,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-D86B04917478E66D,2,BACKGROUND-SAMPLE,,,52002,Apparmor DENIED,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-EF87045FE313B341,2,BACKGROUND-SAMPLE,,,533,Listened ports status (netstat) changed (new port opened or closed).,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-86E0B36422174DEB,2,BACKGROUND-SAMPLE,,,2901,New dpkg (Debian Package) requested to install.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-169EF09AEBFEC6B7,2,BACKGROUND-SAMPLE,,,5902,New user added to the system.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-E472A3AF785F941E,2,BACKGROUND-SAMPLE,,,5715,sshd: authentication success.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-AA9FF9F809529AD4,2,BACKGROUND-SAMPLE,,,5715,sshd: authentication success.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-6BCCCC8D47F91CCB,2,BACKGROUND-SAMPLE,,,533,Listened ports status (netstat) changed (new port opened or closed).,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
